feature,Mean_Oxygen,Mean_Oxygen_qval,log_PO4,log_PO4_qval,log_NO2NO3,log_NO2NO3_qval,sqrt_iron,sqrt_iron_qval,log_depth,log_depth_qval,Mean_Temperature,Mean_Temperature_qval,Mean_Salinity,Mean_Salinity_qval,size_fraction,size_fraction_qval,Absolute_Latitude,Absolute_Latitude_qval
COG3919,not_significant,0.18644477204909,not_significant,0.235463116802556,not_significant,0.797048795069055,not_significant,0.0636227782712606,not_significant,0.9126653605241,not_significant,0.702549886045413,not_significant,0.917911101302427,not_significant,0.474070433459761,not_significant,0.561754697535119
COG3920,not_significant,0.357379753720437,not_significant,0.261620844869837,not_significant,0.888682567258436,not_significant,0.514065301634937,positive,7.35039504133796e-5,not_significant,0.49052754431927,not_significant,0.322951360735894,positive,0.0306044059844866,not_significant,0.904103112673759
COG3921,not_significant,0.918058557383587,not_significant,0.224053550291396,not_significant,0.228854973878343,not_significant,0.800418040726153,positive,0.00324183765210066,not_significant,0.831395032376658,not_significant,0.05728342599266,positive,0.0326644674039953,not_significant,0.857842602707697
COG3926,not_significant,0.974177861978053,not_significant,0.515870272707677,not_significant,0.0792910049051395,not_significant,0.762044197785287,not_significant,0.494900757803477,not_significant,0.162042105201776,not_significant,0.742324596489222,not_significant,0.0578603852377287,not_significant,0.15503250262717
COG3930,not_significant,0.395327705723484,not_significant,0.0699416313777075,not_significant,0.705463224588661,not_significant,0.155243170552405,positive,0.00263165183833112,positive,0.013367997731918,not_significant,0.96198828386779,positive,0.0165211911581966,not_significant,0.203707348483953
COG3931,not_significant,0.585125022073003,not_significant,0.917765453078623,not_significant,0.0704873417320459,not_significant,0.816597888988442,not_significant,0.872610692567413,not_significant,0.846740149670463,not_significant,0.986518802389442,not_significant,0.257171354639779,not_significant,0.285790329353643
COG3932,not_significant,0.514685049373011,not_significant,0.997076638477648,not_significant,0.353294456757299,not_significant,0.191445648744264,not_significant,0.0629915258545496,not_significant,0.286256531854555,not_significant,0.106167963443572,not_significant,0.941006192240659,not_significant,0.37576987571409
COG3934,not_significant,0.992288858042257,not_significant,0.0518445125723998,not_significant,0.558785492796037,not_significant,0.837155054610091,positive,0.00551944307677417,not_significant,0.321055787382088,not_significant,0.645933059028354,not_significant,0.0742904601209494,not_significant,0.839072265250809
COG3935,not_significant,0.518174450110576,not_significant,0.321549432750054,not_significant,0.206433442052563,not_significant,0.110138650633699,positive,0.0148470256787447,not_significant,0.942339025690076,not_significant,0.169511460411531,not_significant,0.562660834657651,not_significant,0.570310823879211
COG3936,not_significant,0.635912165503486,not_significant,0.38673377728185,not_significant,0.734617812230535,not_significant,0.962000714310292,not_significant,0.997902214322571,not_significant,0.980676695560541,not_significant,0.6041454767994,not_significant,0.615208175362833,not_significant,0.576126065496626
COG3937,not_significant,0.713526634279005,not_significant,0.686026280828444,not_significant,0.624252770897528,positive,0.0259878765949561,not_significant,0.316017892456352,not_significant,0.109587664172408,not_significant,0.988618244618622,not_significant,0.0787970685389559,not_significant,0.227937214918061
COG3938,not_significant,0.65258536826954,not_significant,0.0878094578914619,positive,0.0369188224292219,positive,0.0141013437112946,positive,0.0197309035289716,not_significant,0.988493382378626,not_significant,0.679675254961389,positive,0.0301569627760662,not_significant,0.682306396302887
COG3940,positive,0.00509747314198643,positive,0.00103284645796314,not_significant,0.19332124691654,not_significant,0.673366856691166,positive,0.00622022447502995,not_significant,0.67712143968273,not_significant,0.896598704679013,positive,0.00263445677668853,not_significant,0.235517755890061
COG3941,not_significant,0.712670859784537,positive,0.0347768977619455,negative,0.0317311227554478,not_significant,0.605970180798686,not_significant,0.834242479190041,not_significant,0.933335824578113,not_significant,0.416912689961181,not_significant,0.0887124869208632,not_significant,0.754862630067643
COG3942,not_significant,0.911219581515964,not_significant,0.383127686045093,not_significant,0.0658158593975791,not_significant,0.808751841671421,positive,7.8518491607484e-4,not_significant,0.240270339890267,not_significant,0.865133017769557,not_significant,0.662009324964447,not_significant,0.910513166721257
COG3943,not_significant,0.589842777194521,not_significant,0.0908945672279518,not_significant,0.199470278028011,not_significant,0.236341400340544,positive,0.0232243798447154,not_significant,0.837036322711467,not_significant,0.463035185904598,positive,0.0112124389803228,not_significant,0.761200820361313
COG3944,not_significant,0.654801899630268,not_significant,0.272052396896545,not_significant,0.177350678640803,not_significant,0.897130693614286,not_significant,0.140867138513292,not_significant,0.977204629714175,not_significant,0.50198318339974,not_significant,0.530348907338665,not_significant,0.294532881588377
COG3945,negative,0.0286642714966223,not_significant,0.401008189577345,not_significant,0.13756643318686201,not_significant,0.345650415832541,not_significant,0.101280046872092,not_significant,0.698363780014377,not_significant,0.0702897098019332,positive,0.0319343190519419,not_significant,0.541972510103939
COG3946,not_significant,0.14267074049296,not_significant,0.189588100265177,not_significant,0.521595720135376,not_significant,0.574412088833038,positive,0.0497062054376237,not_significant,0.662583577858951,not_significant,0.814725845449539,not_significant,0.984855397008108,not_significant,0.681259901900612
COG3947,not_significant,0.784635559828291,not_significant,0.506598445486169,not_significant,0.679511920498205,not_significant,0.827548664610681,not_significant,0.858600632702587,not_significant,0.76441677921748,not_significant,0.840414627182657,not_significant,0.186779790533764,not_significant,0.991407643171993
COG3948,not_significant,0.887715151013043,positive,0.0291435490227654,not_significant,0.20910993379785,not_significant,0.0547135916634517,not_significant,0.0937987185763682,not_significant,0.792580588567108,not_significant,0.961237387450966,not_significant,0.420576809158874,not_significant,0.893914913842086
COG3949,not_significant,0.189619413004605,not_significant,0.280275742377056,not_significant,0.0541077166074602,positive,0.00301920622770252,positive,4.45369665131865e-5,not_significant,0.551663696870493,not_significant,0.839713462614968,positive,0.0141147828086545,not_significant,0.111848644987045
COG3950,not_significant,0.54660621873577,not_significant,0.147657840031371,not_significant,0.151210062388824,not_significant,0.273230209058604,not_significant,0.792556572640665,not_significant,0.402431115579319,not_significant,0.0607580718599479,positive,0.0465109441935609,not_significant,0.186328297304808
COG3951,positive,0.0291257461219397,not_significant,0.641730525893,not_significant,0.377969294101832,not_significant,0.614093675716947,not_significant,0.514210963535286,not_significant,0.146680707280513,not_significant,0.87182191092984,not_significant,0.498168504215016,not_significant,0.0601409025783103
COG3952,not_significant,0.122600805901619,not_significant,0.854120452504825,not_significant,0.854695900785766,not_significant,0.885758050303254,not_significant,0.238038601509085,not_significant,0.679675254961389,not_significant,0.839943449594092,not_significant,0.714187470698363,not_significant,0.408533349594225
COG3953,not_significant,0.263058315157272,not_significant,0.694075041890011,not_significant,0.398670501583468,not_significant,0.327293882644556,not_significant,0.461429203620012,not_significant,0.551663696870493,not_significant,0.729035568050158,not_significant,0.144552765250708,not_significant,0.848223138417583
COG3954,not_significant,0.523470202193596,not_significant,0.888708879634159,negative,0.0208010191478084,not_significant,0.201521369236015,not_significant,0.611501163069753,not_significant,0.830629223399476,not_significant,0.959978582337152,not_significant,0.227155757833984,not_significant,0.303213931669315
