genome_count	ncbi_bioproject
      2 PRJNA418892
      2 PRJNA418724
      2 PRJNA415422
      2 PRJNA412384
      2 PRJNA407882
      2 PRJNA407579
      2 PRJNA401006
      2 PRJNA396740
      2 PRJNA395841
      2 PRJNA395196
      2 PRJNA394120
      2 PRJNA39375
      2 PRJNA391404
      2 PRJNA389340
      2 PRJNA388135
      2 PRJNA387206
      2 PRJNA386410
      2 PRJNA385759
      2 PRJNA384362
      2 PRJNA380999
      2 PRJNA375627
      2 PRJNA375621
      2 PRJNA375616
      2 PRJNA369256
      2 PRJNA368836
      2 PRJNA368791
      2 PRJNA367190
      2 PRJNA364789
      2 PRJNA363059
      2 PRJNA357881
      2 PRJNA353002
      2 PRJNA349209
      2 PRJNA343020
      2 PRJNA340354
      2 PRJNA340238
      2 PRJNA340050
      2 PRJNA338014
      2 PRJNA335650
      2 PRJNA330904
      2 PRJNA323464
      2 PRJNA322661
      2 PRJNA321723
      2 PRJNA321606
      2 PRJNA320716
      2 PRJNA320195
      2 PRJNA315442
      2 PRJNA314440
      2 PRJNA314275
      2 PRJNA313452
      2 PRJNA311679
      2 PRJNA311314
      2 PRJNA309720
      2 PRJNA307085
      2 PRJNA305824
      2 PRJNA305084
      2 PRJNA304320
      2 PRJNA302716
      2 PRJNA299467
      2 PRJNA297942
      2 PRJNA297395
      2 PRJNA295907
      2 PRJNA295008
      2 PRJNA294867
      2 PRJNA292901
      2 PRJNA292736
      2 PRJNA291283
      2 PRJNA291107
      2 PRJNA290569
      2 PRJNA289243
      2 PRJNA288461
      2 PRJNA284620
      2 PRJNA283783
      2 PRJNA283204
      2 PRJNA279308
      2 PRJNA279030
      2 PRJNA278886
      2 PRJNA278620
      2 PRJNA276767
      2 PRJNA273893
      2 PRJNA273284
      2 PRJNA269960
      2 PRJNA264952
      2 PRJNA259227
      2 PRJNA258403
      2 PRJNA255334
      2 PRJNA253068
      2 PRJNA246239
      2 PRJNA243548
      2 PRJNA239758
      2 PRJNA239272
      2 PRJNA236643
      2 PRJNA227392
      2 PRJNA226756
      2 PRJNA214018
      2 PRJNA184698
      2 PRJNA183848
      2 PRJNA183847
      2 PRJEB9853
      2 PRJEB9287
      2 PRJEB6483
      2 PRJEB6477
      2 PRJEB6476
      2 PRJEB6469
      2 PRJEB5560
      2 PRJEB5521
      2 PRJEB4909
      2 PRJEB43746
      2 PRJEB40417
      2 PRJEB39384
      2 PRJEB38812
      2 PRJEB38489
      2 PRJEB36096
      2 PRJEB34549
      2 PRJEB32776
      2 PRJEB32609
      2 PRJEB32329
      2 PRJEB30771
      2 PRJEB30653
      2 PRJEB28157
      2 PRJEB25824
      2 PRJEB25531
      2 PRJEB24926
      2 PRJEB2395
      2 PRJEB2215
      2 PRJEB21840
      2 PRJEB2117
      2 PRJEB19364
      2 PRJEB17996
